DISTRICT CODE,DISTRICT NAME,PROPERTY ID,PROPERTY TYPE,PROPERTY NAME,UNIT NUMBER,HOUSE NUMBER,STREET NAME,SUBURB NAME,POSTCODE,PROPERTY DESCRIPTION,ZONE CODE,AREA,AREA TYPE,BASE DATE 1,LAND VALUE 1,AUTHORITY 1,BASIS 1,BASE DATE 2,LAND VALUE 2,AUTHORITY 2,BASIS 2,BASE DATE 3,LAND VALUE 3,AUTHORITY 3,BASIS 3,BASE DATE 4,LAND VALUE 4,AUTHORITY 4,BASIS 4,BASE DATE 5,LAND VALUE 5,AUTHORITY 5,BASIS 5,
262,EDWARD RIVER,522362,NORMAL,"",,312,"FITZROY ST","DENILIQUIN",2710,"1/72/758782",R1,1012,M,01/07/2018,33900,14A(1),6A(1),01/07/2017,30900,14A(1),6A(1),01/07/2016,30900,14A(1),6A(1),01/07/2015,30000,14A(1),6A(1),01/07/2014,29100,14A(1),6A(1),
262,EDWARD RIVER,522363,NORMAL,"",,316,"FITZROY ST","DENILIQUIN",2710,"2, 3/72/758782",R1,2023,M,01/07/2018,44100,14A(1),6A(1),01/07/2017,40100,14A(1),6A(1),01/07/2016,40100,14A(1),6A(1),01/07/2015,38900,14A(1),6A(1),01/07/2014,37800,14A(1),6A(1),
262,EDWARD RIVER,522364,NORMAL,"",,318,"FITZROY ST","DENILIQUIN",2710,"4/72/758782",R1,1012,M,01/07/2018,33900,14A(1),6A(1),01/07/2017,30900,14A(1),6A(1),01/07/2016,30900,14A(1),6A(1),01/07/2015,30000,14A(1),6A(1),01/07/2014,29100,14A(1),6A(1),
262,EDWARD RIVER,522365,NORMAL,"",,320,"FITZROY ST","DENILIQUIN",2710,"5/72/758782",R1,1012,M,01/07/2018,33900,14A(1),6A(1),01/07/2017,30900,14A(1),6A(1),01/07/2016,30900,14A(1),6A(1),01/07/2015,30000,14A(1),6A(1),01/07/2014,29100,14A(1),6A(1),
262,EDWARD RIVER,522366,NORMAL,"",,322,"FITZROY ST","DENILIQUIN",2710,"6/72/758782",R1,1012,M,01/07/2018,33900,14A(1),6A(1),01/07/2017,30900,14A(1),6A(1),01/07/2016,30900,14A(1),6A(1),01/07/2015,30000,14A(1),6A(1),01/07/2014,29100,14A(1),6A(1),
262,EDWARD RIVER,522367,NORMAL,"",,324,"FITZROY ST","DENILIQUIN",2710,"7/72/758782",R1,1012,M,01/07/2018,33900,14A(1),6A(1),01/07/2017,30900,14A(1),6A(1),01/07/2016,30900,14A(1),6A(1),01/07/2015,30000,14A(1),6A(1),01/07/2014,29100,14A(1),6A(1),
262,EDWARD RIVER,522368,NORMAL,"",,326,"FITZROY ST","DENILIQUIN",2710,"8/1118558",R1,1012,M,01/07/2018,33900,14A(1),6A(1),01/07/2017,30900,14A(1),6A(1),01/07/2016,30900,14A(1),6A(1),01/07/2015,30000,14A(1),6A(1),01/07/2014,29100,14A(1),6A(1),
262,EDWARD RIVER,522369,NORMAL,"",,336,"FITZROY ST","DENILIQUIN",2710,"2/71/758782",R1,1012,M,01/07/2018,33900,14A(1),6A(1),01/07/2017,30900,14A(1),6A(1),01/07/2016,30900,14A(1),6A(1),01/07/2015,30000,14A(1),6A(1),01/07/2014,29100,14A(1),6A(1),
262,EDWARD RIVER,522370,NORMAL,"",,338,"FITZROY ST","DENILIQUIN",2710,"3/71/758782",R1,1012,M,01/07/2018,33900,14A(1),6A(1),01/07/2017,30900,14A(1),6A(1),01/07/2016,30900,14A(1),6A(1),01/07/2015,30000,14A(1),6A(1),01/07/2014,29100,14A(1),6A(1),
262,EDWARD RIVER,522371,NORMAL,"",,340,"FITZROY ST","DENILIQUIN",2710,"4/71/758782",R1,1012,M,01/07/2018,33900,14A(1),6A(1),01/07/2017,30900,14A(1),6A(1),01/07/2016,30900,14A(1),6A(1),01/07/2015,30000,14A(1),6A(1),01/07/2014,29100,14A(1),6A(1),
262,EDWARD RIVER,522372,NORMAL,"",,342,"FITZROY ST","DENILIQUIN",2710,"5/71/758782",R1,1012,M,01/07/2018,33900,14A(1),6A(1),01/07/2017,30900,14A(1),6A(1),01/07/2016,30900,14A(1),6A(1),01/07/2015,30000,14A(1),6A(1),01/07/2014,29100,14A(1),6A(1),
262,EDWARD RIVER,522373,NORMAL,"",,344,"FITZROY ST","DENILIQUIN",2710,"6/71/758782",R1,1012,M,01/07/2018,33900,14A(1),6A(1),01/07/2017,30900,14A(1),6A(1),01/07/2016,30900,14A(1),6A(1),01/07/2015,30000,14A(1),6A(1),01/07/2014,29100,14A(1),6A(1),
